Transaction ID,Transaction Date,Year,Month,Day,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Computed Total,Total Mismatch Flag
TXN_1961373,2023-09-08,2023.0,9.0,8.0,Coffee,2,2.0,4.0,Credit Card,Takeaway,4.0,False
TXN_4977031,2023-05-16,2023.0,5.0,16.0,Cake,4,3.0,12.0,Cash,In-store,12.0,False
TXN_4271903,2023-07-19,2023.0,7.0,19.0,Cookie,4,1.0,4.0,Credit Card,In-store,4.0,False
TXN_7034554,2023-04-27,2023.0,4.0,27.0,Salad,2,5.0,10.0,Other,Unknown,10.0,False
TXN_3160411,2023-06-11,2023.0,6.0,11.0,Coffee,2,2.0,4.0,Digital Wallet,In-store,4.0,False
TXN_2602893,2023-03-31,2023.0,3.0,31.0,Smoothie,5,4.0,20.0,Credit Card,Unknown,20.0,False
TXN_4433211,2023-10-06,2023.0,10.0,6.0,Unknown Item,3,3.0,9.0,Other,Takeaway,9.0,False
TXN_6699534,2023-10-28,2023.0,10.0,28.0,Sandwich,4,4.0,16.0,Cash,Unknown,16.0,False
TXN_4717867,2023-07-28,2023.0,7.0,28.0,Unknown Item,5,3.0,15.0,Other,Takeaway,15.0,False
TXN_2064365,2023-12-31,2023.0,12.0,31.0,Sandwich,5,4.0,20.0,Other,In-store,20.0,False
TXN_2548360,2023-11-07,2023.0,11.0,7.0,Salad,5,5.0,25.0,Cash,Takeaway,25.0,False
TXN_3051279,,,,,Sandwich,2,4.0,8.0,Credit Card,Takeaway,8.0,False
TXN_7619095,2023-05-03,2023.0,5.0,3.0,Sandwich,2,4.0,8.0,Cash,In-store,8.0,False
TXN_9437049,2023-06-01,2023.0,6.0,1.0,Cookie,5,1.0,5.0,Other,Takeaway,5.0,False
TXN_8915701,2023-03-21,2023.0,3.0,21.0,Unknown Item,2,1.5,3.0,Other,In-store,3.0,False
TXN_2847255,2023-11-15,2023.0,11.0,15.0,Salad,3,5.0,15.0,Credit Card,In-store,15.0,False
TXN_3765707,2023-06-10,2023.0,6.0,10.0,Sandwich,1,4.0,4.0,Other,Unknown,4.0,False
TXN_6769710,2023-02-24,2023.0,2.0,24.0,Juice,2,3.0,6.0,Cash,In-store,6.0,False
TXN_8876618,2023-03-25,2023.0,3.0,25.0,Cake,5,3.0,15.0,Cash,Unknown,15.0,False
TXN_3709394,2023-01-15,2023.0,1.0,15.0,Juice,4,3.0,12.0,Cash,Takeaway,12.0,False
TXN_3522028,2023-04-04,2023.0,4.0,4.0,Smoothie,5,4.0,20.0,Cash,In-store,20.0,False
TXN_3567645,2023-03-30,2023.0,3.0,30.0,Smoothie,4,4.0,16.0,Credit Card,Takeaway,16.0,False
TXN_5132361,2023-12-01,2023.0,12.0,1.0,Sandwich,3,4.0,12.0,Digital Wallet,Takeaway,12.0,False
TXN_2616390,2023-09-18,2023.0,9.0,18.0,Sandwich,2,4.0,8.0,Other,Unknown,8.0,False
TXN_9400181,2023-06-03,2023.0,6.0,3.0,Sandwich,5,4.0,20.0,Cash,In-store,20.0,False
TXN_7958992,2023-12-13,2023.0,12.0,13.0,Smoothie,3,4.0,12.0,Other,Unknown,12.0,False
TXN_5183041,2023-04-20,2023.0,4.0,20.0,Cookie,5,1.0,5.0,Credit Card,In-store,5.0,False
TXN_5695074,2023-04-10,2023.0,4.0,10.0,Juice,4,3.0,12.0,Credit Card,Takeaway,12.0,False
TXN_8467949,2023-03-11,2023.0,3.0,11.0,Smoothie,5,4.0,20.0,Credit Card,Unknown,20.0,False
TXN_7640952,,,,,Cake,4,3.0,12.0,Digital Wallet,Takeaway,12.0,False
TXN_1736287,2023-06-02,2023.0,6.0,2.0,Unknown Item,5,2.0,10.0,Digital Wallet,Unknown,10.0,False
TXN_8927252,2023-11-06,2023.0,11.0,6.0,Unknown Item,2,1.0,2.0,Credit Card,Unknown,2.0,False
TXN_9677376,2023-08-15,2023.0,8.0,15.0,Smoothie,4,4.0,16.0,Other,In-store,16.0,False
TXN_7710508,,,,,Unknown Item,5,1.0,5.0,Cash,Unknown,5.0,False
TXN_8853997,2023-10-09,2023.0,10.0,9.0,Smoothie,2,4.0,8.0,Digital Wallet,Takeaway,8.0,False
TXN_9130559,2023-05-28,2023.0,5.0,28.0,Sandwich,1,4.0,4.0,Credit Card,Unknown,4.0,False
TXN_6855453,2023-07-17,2023.0,7.0,17.0,Unknown Item,4,3.0,12.0,Other,In-store,12.0,False
TXN_1080432,2023-04-29,2023.0,4.0,29.0,Salad,2,5.0,10.0,Credit Card,In-store,10.0,False
TXN_2655815,2023-06-08,2023.0,6.0,8.0,Smoothie,4,4.0,16.0,Other,Takeaway,16.0,False
TXN_6688524,2023-06-29,2023.0,6.0,29.0,Coffee,4,2.0,8.0,Other,Unknown,8.0,False
TXN_2083138,2023-04-17,2023.0,4.0,17.0,Smoothie,3,4.0,12.0,Other,In-store,12.0,False
TXN_2427584,2023-12-22,2023.0,12.0,22.0,Sandwich,4,4.0,16.0,Other,Takeaway,16.0,False
TXN_6650263,2023-01-10,2023.0,1.0,10.0,Tea,2,1.5,3.0,Other,Takeaway,3.0,False
TXN_9620080,2023-10-02,2023.0,10.0,2.0,Juice,4,3.0,12.0,Other,Takeaway,12.0,False
TXN_1491578,2023-02-23,2023.0,2.0,23.0,Cookie,2,1.0,2.0,Other,Unknown,2.0,False
TXN_5455792,2023-03-22,2023.0,3.0,22.0,Salad,3,5.0,15.0,Cash,Unknown,15.0,False
TXN_8078640,2023-11-03,2023.0,11.0,3.0,Juice,4,3.0,12.0,Digital Wallet,In-store,12.0,False
TXN_9499313,2023-03-02,2023.0,3.0,2.0,Juice,5,3.0,15.0,Other,Unknown,15.0,False
TXN_8201146,2023-06-26,2023.0,6.0,26.0,Juice,5,3.0,15.0,Cash,Unknown,15.0,False
TXN_8230936,2023-05-02,2023.0,5.0,2.0,Cake,3,3.0,9.0,Other,Unknown,9.0,False
TXN_7742742,2023-09-05,2023.0,9.0,5.0,Cake,5,3.0,15.0,Other,Takeaway,15.0,False
TXN_6342161,2023-01-08,2023.0,1.0,8.0,Salad,5,5.0,25.0,Other,Takeaway,25.0,False
TXN_8914892,2023-03-15,2023.0,3.0,15.0,Unknown Item,5,5.0,25.0,Digital Wallet,Unknown,25.0,False
TXN_3363746,2023-11-25,2023.0,11.0,25.0,Smoothie,3,4.0,12.0,Credit Card,Unknown,12.0,False
TXN_8614868,2023-12-05,2023.0,12.0,5.0,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,20.0,False
TXN_5522862,2023-03-19,2023.0,3.0,19.0,Cookie,2,1.0,2.0,Credit Card,Takeaway,2.0,False
TXN_3578141,2023-06-27,2023.0,6.0,27.0,Cake,5,3.0,15.0,Other,Takeaway,15.0,False
TXN_2080895,2023-04-19,2023.0,4.0,19.0,Cake,1,3.0,3.0,Digital Wallet,In-store,3.0,False
TXN_6421134,2023-11-03,2023.0,11.0,3.0,Sandwich,4,4.0,16.0,Cash,Takeaway,16.0,False
TXN_8813311,2023-10-07,2023.0,10.0,7.0,Juice,5,3.0,15.0,Other,In-store,15.0,False
TXN_9023317,2023-09-30,2023.0,9.0,30.0,Salad,1,5.0,5.0,Other,Unknown,5.0,False
TXN_8051289,2023-10-09,2023.0,10.0,9.0,Unknown Item,1,3.0,3.0,Other,In-store,3.0,False
TXN_2537617,2023-05-27,2023.0,5.0,27.0,Sandwich,1,4.0,4.0,Cash,Unknown,4.0,False
TXN_9099694,2023-11-18,2023.0,11.0,18.0,Unknown Item,3,5.0,15.0,Other,Takeaway,15.0,False
TXN_9230615,2023-06-01,2023.0,6.0,1.0,Smoothie,4,4.0,16.0,Digital Wallet,Unknown,16.0,False
TXN_4987129,2023-10-20,2023.0,10.0,20.0,Sandwich,3,,,Other,In-store,,False
TXN_8501819,2023-03-30,2023.0,3.0,30.0,Juice,2,3.0,6.0,Cash,Unknown,6.0,False
TXN_3068204,2023-10-03,2023.0,10.0,3.0,Cookie,1,1.0,1.0,Credit Card,Takeaway,1.0,False
TXN_8427104,2023-10-27,2023.0,10.0,27.0,Salad,2,5.0,10.0,Other,In-store,10.0,False
TXN_8471743,2023-04-06,2023.0,4.0,6.0,Unknown Item,5,3.0,15.0,Digital Wallet,In-store,15.0,False
TXN_2621580,2023-03-22,2023.0,3.0,22.0,Tea,2,1.5,3.0,Cash,In-store,3.0,False
TXN_4726376,2023-01-31,2023.0,1.0,31.0,Cake,2,3.0,6.0,Credit Card,In-store,6.0,False
TXN_6044979,2023-12-08,2023.0,12.0,8.0,Unknown Item,1,1.0,1.0,Cash,In-store,1.0,False
TXN_4238417,2023-06-19,2023.0,6.0,19.0,Salad,2,5.0,10.0,Other,Unknown,10.0,False
TXN_1900620,2023-12-14,2023.0,12.0,14.0,Smoothie,2,4.0,8.0,Credit Card,Unknown,8.0,False
TXN_6420335,2023-07-16,2023.0,7.0,16.0,Coffee,1,2.0,2.0,Cash,Takeaway,2.0,False
TXN_3858209,2023-02-22,2023.0,2.0,22.0,Sandwich,4,4.0,16.0,Cash,Unknown,16.0,False
TXN_2091733,,,,,Salad,1,5.0,5.0,Other,In-store,5.0,False
TXN_8735480,2023-06-02,2023.0,6.0,2.0,Tea,5,1.5,7.5,Cash,Unknown,7.5,False
TXN_3829165,2023-06-15,2023.0,6.0,15.0,Juice,4,3.0,12.0,Cash,In-store,12.0,False
TXN_3748616,2023-12-09,2023.0,12.0,9.0,Coffee,2,2.0,4.0,Credit Card,In-store,4.0,False
TXN_1993289,2023-04-18,2023.0,4.0,18.0,Sandwich,2,4.0,8.0,Other,In-store,8.0,False
TXN_2123367,2023-11-07,2023.0,11.0,7.0,Cookie,2,1.0,2.0,Other,Unknown,2.0,False
TXN_5266394,2023-10-28,2023.0,10.0,28.0,Cake,3,3.0,9.0,Cash,In-store,9.0,False
TXN_5107946,2023-12-22,2023.0,12.0,22.0,Cake,4,3.0,12.0,Credit Card,Unknown,12.0,False
TXN_8035512,2023-10-29,2023.0,10.0,29.0,Tea,3,1.5,4.5,Cash,Unknown,4.5,False
TXN_8718498,2023-04-30,2023.0,4.0,30.0,Cake,5,3.0,15.0,Credit Card,Unknown,15.0,False
TXN_3955361,2023-04-02,2023.0,4.0,2.0,Cookie,5,1.0,5.0,Other,Takeaway,5.0,False
TXN_9487821,2023-05-24,2023.0,5.0,24.0,Unknown Item,1,5.0,5.0,Digital Wallet,Takeaway,5.0,False
TXN_4132730,2023-03-12,2023.0,3.0,12.0,Unknown Item,5,1.0,5.0,Other,In-store,5.0,False
TXN_8976658,2023-08-16,2023.0,8.0,16.0,Tea,2,1.5,3.0,Credit Card,In-store,3.0,False
TXN_5455936,2023-10-28,2023.0,10.0,28.0,Unknown Item,5,3.0,15.0,Other,In-store,15.0,False
TXN_2725602,2023-09-10,2023.0,9.0,10.0,Juice,5,3.0,15.0,Credit Card,Unknown,15.0,False
TXN_3011323,2023-03-07,2023.0,3.0,7.0,Coffee,3,2.0,6.0,Credit Card,Unknown,6.0,False
TXN_6289610,2023-08-07,2023.0,8.0,7.0,Juice,3,3.0,9.0,Cash,Takeaway,9.0,False
TXN_8268061,2023-08-20,2023.0,8.0,20.0,Salad,3,5.0,15.0,Other,Takeaway,15.0,False
TXN_5220895,2023-06-10,2023.0,6.0,10.0,Salad,5,5.0,25.0,Cash,In-store,25.0,False
TXN_3085509,2023-04-15,2023.0,4.0,15.0,Coffee,4,2.0,8.0,Digital Wallet,In-store,8.0,False
TXN_9999113,2023-05-27,2023.0,5.0,27.0,Juice,4,3.0,12.0,Cash,Takeaway,12.0,False
TXN_8779771,2023-07-25,2023.0,7.0,25.0,Coffee,4,2.0,8.0,Cash,In-store,8.0,False
TXN_9517146,2023-10-30,2023.0,10.0,30.0,Unknown Item,5,5.0,25.0,Cash,Takeaway,25.0,False
TXN_1621920,2023-10-28,2023.0,10.0,28.0,Salad,3,5.0,15.0,Other,Takeaway,15.0,False
TXN_3808639,2023-12-15,2023.0,12.0,15.0,Juice,2,3.0,6.0,Digital Wallet,Takeaway,6.0,False
TXN_7028009,,,,,Cake,4,3.0,12.0,Other,Takeaway,12.0,False
TXN_7447872,,,,,Juice,2,3.0,6.0,Other,Unknown,6.0,False
TXN_6955416,2023-02-25,2023.0,2.0,25.0,Salad,4,5.0,20.0,Other,In-store,20.0,False
TXN_3775339,2023-04-03,2023.0,4.0,3.0,Cookie,3,1.0,3.0,Credit Card,Unknown,3.0,False
TXN_9547091,2023-10-08,2023.0,10.0,8.0,Cookie,3,1.0,3.0,Credit Card,Unknown,3.0,False
TXN_4358673,2023-12-28,2023.0,12.0,28.0,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,5.0,False
TXN_4174591,2023-08-30,2023.0,8.0,30.0,Tea,4,1.5,6.0,Digital Wallet,Unknown,6.0,False
TXN_3398520,2023-02-03,2023.0,2.0,3.0,Sandwich,1,4.0,4.0,Other,In-store,4.0,False
TXN_6171384,2023-09-12,2023.0,9.0,12.0,Smoothie,2,4.0,8.0,Credit Card,Unknown,8.0,False
TXN_2530938,2023-04-27,2023.0,4.0,27.0,Smoothie,5,4.0,20.0,Other,Takeaway,20.0,False
TXN_3314971,2023-05-04,2023.0,5.0,4.0,Juice,3,3.0,9.0,Digital Wallet,Unknown,9.0,False
TXN_3092382,2023-02-21,2023.0,2.0,21.0,Coffee,5,2.0,10.0,Digital Wallet,Unknown,10.0,False
TXN_1001832,,,,,Salad,2,5.0,10.0,Cash,Takeaway,10.0,False
TXN_1535311,2023-03-16,2023.0,3.0,16.0,Juice,3,3.0,9.0,Cash,Unknown,9.0,False
TXN_2148617,2023-01-10,2023.0,1.0,10.0,Juice,3,3.0,9.0,Digital Wallet,Unknown,9.0,False
TXN_4633784,2023-02-06,2023.0,2.0,6.0,Unknown Item,5,3.0,15.0,Other,In-store,15.0,False
TXN_4368416,2023-02-24,2023.0,2.0,24.0,Salad,2,5.0,10.0,Credit Card,Takeaway,10.0,False
TXN_9790731,2023-06-02,2023.0,6.0,2.0,Cake,2,3.0,6.0,Other,Unknown,6.0,False
TXN_9339456,2023-03-29,2023.0,3.0,29.0,Coffee,3,2.0,6.0,Other,Takeaway,6.0,False
TXN_5179020,2023-06-18,2023.0,6.0,18.0,Cake,2,3.0,6.0,Other,Takeaway,6.0,False
TXN_6258471,2023-09-23,2023.0,9.0,23.0,Coffee,5,2.0,10.0,Digital Wallet,In-store,10.0,False
TXN_7945375,2023-01-14,2023.0,1.0,14.0,Juice,3,3.0,9.0,Other,Unknown,9.0,False
TXN_4685453,2023-09-14,2023.0,9.0,14.0,Tea,4,1.5,6.0,Cash,In-store,6.0,False
TXN_9646452,2023-09-16,2023.0,9.0,16.0,Juice,5,3.0,15.0,Credit Card,Unknown,15.0,False
TXN_9096052,2023-12-28,2023.0,12.0,28.0,Smoothie,4,4.0,16.0,Credit Card,Takeaway,16.0,False
TXN_5916991,2023-02-06,2023.0,2.0,6.0,Juice,2,3.0,6.0,Digital Wallet,Takeaway,6.0,False
TXN_3407169,2023-03-11,2023.0,3.0,11.0,Sandwich,2,4.0,8.0,Cash,In-store,8.0,False
TXN_2277042,2023-04-08,2023.0,4.0,8.0,Tea,1,1.5,1.5,Cash,Unknown,1.5,False
TXN_9273729,2023-12-19,2023.0,12.0,19.0,Tea,1,1.5,1.5,Other,Unknown,1.5,False
TXN_2181545,2023-07-14,2023.0,7.0,14.0,Juice,4,3.0,12.0,Credit Card,Takeaway,12.0,False
TXN_1150033,2023-04-18,2023.0,4.0,18.0,Juice,5,3.0,15.0,Cash,In-store,15.0,False
TXN_1443912,2023-06-08,2023.0,6.0,8.0,Juice,2,3.0,6.0,Other,Unknown,6.0,False
